YEAR,ID,TYPE,ARCHITECTURE,TECHNOLOGY,TITLE,ABSTRACT,AUTHORS,COMMENTS,Csamp [pF],AREA [mm^2],SNDR_lf [dB],fin_hf [Hz],SNDR_hf [dB],SNR [dB],DR [dB],-THD [dB],SFDR [dB],SNDR_plot [dB],P [W],fs [Hz],OSR,fsnyq [Hz],P/fsnyq [pJ],FOMW_lf [fJ/conv-step],FOMW_hf [fJ/conv-step],FOMS_lf [dB],FOMS_hf [dB],FOMW_hf/fsnyq,"FOMS,hf+10log(fsnyq)",source
1997,13.6,OS,SDSC,0.8,"A 5 V, 118 dB ä? analog-to digital converter for wideband digital audio","Digital signal processing can replace analog signal processing in professional audio equipment only when analog-to-digital converter dynamic ranges approach 120 dB. Super-high-end audio applications extend the audio band beyond 30 kHz and require 96 kHz sampling frequency. This paper describes a multi-bit ä? modulator developed for high-end digital audio. The modulator is a single-loop, seventh-order type with a 3-level quantizer. The modulator samples the analog input at 6.144 MHz and has 140 dB signal-to-quantization noise in a 48 kHz bandwidth. The device is fabricated in a double-poly, double-metal, 0.8 ?m CMOS process ","Leung, K.Y.; Swanson, E.J.; Kafai Leung; Zhu, S.S.", , ,25,,48000,110,,118,,,110,7.60E-01,6.14E+06,64,9.60E+04,7.92E+06,,30619.8,,158,3.19E-01,207.83,ISSCC
1997,13.7,OS,SDCT,0.5,A 2.3 mW CMOS ä? modulator for audio applications,"This audio-quality CMOS ä? modulator operates from a 3.3 V supply with 2.3 mW power consumption. The dynamic range is 96 dB over a 20-20000 Hz bandwidth and THD for a 1 kHz maximum input signal is -104 dB. A modulator with power consumption increased to 6.6 mW at the same supply voltage has 10l dB dynamic range and THD<-110 dB, proving the tradeoff between power consumption and performance ","van der Zwan, E.J.", , ,0.4,,20000,,,96,104,,96,2.30E-03,5.64E+06,141,4.00E+04,5.75E+04,,1114.8,,165.4,2.79E-02,211.41,ISSCC
1998,4.4,OS,SDSC,0.6,A 100 kHz 9.6 mW multi bit ?ä DAC and ADC using noise shaping dynamic elements matching with tree structure,"A multi-bit ?ä modulator (?äM) is an attractive means for realizing a high-speed low-power data converter. A loss in dynamic range occurs if stabilization of the feedback loop for a higher-order DSM uses a 1b feedback signal. The classical 1b ADC and/or DAC do not follow the theoretical SNR of (8+6 N)L(dB), where N is the order of the DSM, and 2L is the oversampling ratio. In contrast, multi-bit feedback stabilizes a higher-order DSM with little loss of dynamic range. As the internal signal swing is reduced with increase in number of feedback signal bits, the multi-bit DSM requires a lower slew rate and thus less power for analog circuits than the 1b case. There is an increase in SNR due to use of a multi-bit internal DAC to reduce the oversampling ratio and hence to reduce power consumption of the analog portion ","Yasuda, A.; Tanimoto, H.; Lida, T.", , ,,,100000,,,79,75,,75,9.60E-03,5.00E+06,25,2.00E+05,4.80E+04,,10444.2,,145.2,5.22E-02,198.19,ISSCC
1998,4.6,OS,"SDSC, SwOpAmp",0.5,A 900 mV 40 ?W switched opamp ?ä modulator with 77 dB dynamic range,"Portable electronic systems require low-voltage low-power building blocks. An important building block is an A/D converter. ?ä ADCs provide an efficient way of trading off speed for resolution. The switched op amp (SO) technique allows design of switched-capacitor (SC) circuits at very low supply voltage without the use of multithreshold technologies or voltage multipliers to drive the switches. The basic idea of it is to leave out the switches connected to the output of the amplifier in a SC integrator, because those are the ones that fail to conduct when the supply voltage is low. Switches can only be connected to well-chosen reference voltages. In this implementation the differential modified SO integrator cell is used, so the reference voltages are VSS and VDD. This allows maximum overdrive of VDD-VSS for the switches ","Peluso, V.; Vancorenland, P.; Marques, A.; Steyaert, M.; Sansen, W.", , ,0.85,,16000,62,,77,,,62,4.00E-05,1.54E+06,48,3.20E+04,1.25E+03,,1215.1,,148,3.80E-02,193.07,ISSCC
1998,9.1,NQ,Pipe,0.7,A single-ended 12b 20Msample/s self-calibrating pipeline A/D converter,This single-ended 12b 20 MSample/s pipeline ADC has good performance for Nyquist frequency inputs. Architecture and calibration algorithms minimize digital correction circuitry and noise crosstalk. The single-ended performance is achieved with a novel input common-mode feedback technique in the S/H stage. The total power dissipation is only 250 mW from a single 5 V supply,"I. Opris, L. Lewicki, and B. Wong", , ,9,,10000000,,65.4,,70.6,,65.4,2.50E-01,2.00E+07,1,2.00E+07,1.25E+04,,8214.7,,141.4,4.11E-04,214.43,ISSCC
1998,9.2,NQ,"Pipe, TI",1,Digital background calibration of a 10b 40Msample/s parallel pipelined ADC,This time-interleaved pipelined ADC uses monolithic digital background calibration to overcome the effects of the offset and gain mismatches between channels. The contributions here are use of digital background calibration to overcome these mismatches and implementation of these techniques in conjunction with the ADCs on one CMOS IC. Background calibration is done by adding a calibration signal to the ADC input and processing both simultaneously. A potential advantage of this approach is that the calibration signal acts as dither and improves the linearity of the system ,"D. Fu, K. Dyer, S. Lewis, and P. Hurst,", , ,22,,20000000,55,,55,,72,55,5.65E-01,4.00E+07,1,4.00E+07,1.41E+04,,30741.4,,130.5,7.69E-04,206.51,ISSCC
1998,9.3,NQ,"Pipe, TI",1,Analog background calibration of a 10b 40Msample/s parallel pipelined ADC,"The sampling rate of an ADC often limits speed of a signal processing system. Sampling rate at the A/D interface can be increased by using multiple component ADCs that are time interleaved. Mismatches in offsets, gains, and sampling times among the component ADCs limit the performance of the ADC system. Previous time-interleaved ADC arrays use careful layout, foreground calibration and/or digital filters to minimize the effects of these mismatches. The presented time-interleaved ADC uses monolithic analog background calibration to match the gains and offsets of the component pipelined ADCs. The contributions are an expandible adaptive background calibration technique for parallel ADCs and a calibration loop that uses a mixed-signal integrator. The fully-differential prototype is fabricated in a 1.0 ?m CMOS single-poly process with poly-thin-oxide-diffusion capacitors. It includes 3 pipelined ADCs, one algorithmic ADC, the calibration signal generator, channel control logic, and 6 mixed-signal integrators, each followed by a unity-gain buffer that supplies the offset or reference correction voltage to one of the pipelined ADCs. The SC integrator and ADC stages use telescopic opamps with source followers at the input ","K. Dyer, D. Fu, S. Lewis, and P. Hurst,", , ,42,,20000000,58,,,,,58,6.50E-01,4.00E+07,1,4.00E+07,1.63E+04,,25036.5,,132.9,6.26E-04,208.9,ISSCC
1998,9.4,NQ,Pipe,0.5,A continuously-calibrated 10Msample/s 12b 3.3V ADC,"Continuous calibration allows a converter to function continuously in the presence of environmental fluctuations and supply variations by periodically correcting for errors without interrupting the ADC output. This paper introduces a technique for continuously calibrating a pipelined A/D converter. Calibration is performed in the analog domain so as to avoid high-linearity calibration hardware or complex signal processing. A 10 MS ample/s, 12b converter implemented in a conventional 0.5 ?m, single-poly, four-metal, CMOS technology operates from a 3.3V supply. This experimental circuit digitizes a 4.8 MHz signal with a peak SNDR of 67 dB ",Joseph Ingino Jr. and Bruce Wooley, , ,14.5,,5000000,67,,,,,67,2.65E-01,1.00E+07,1,1.00E+07,2.65E+04,,14485.1,,139.8,1.45E-03,209.76,ISSCC
1998,9.5,NQ,"Pipe, TI",0.5,8b 75Msample/s 70mW parallel pipelined ADC incorporating double sampling,This 8b pipelined analog-to-digital converter (ADC) incorporates double sampling into the residue signal path of a 1.5b-per-stage architecture to effectively double the throughput of the ADC for a given analog power consumption. Residue amplifiers and sub-ADC comparators are shared between two time-interleaved channels and the sampling capacitors in the second stage are scaled in order to reduce power consumption. The ADC presented here achieves 75 MSamples/s while consuming 70 mW. The converter measures 5.5 mm2 and is fabricated in a 3.3 V 0.5 ?m digital CMOS process with four levels of metal and no special mask layers for passive components,W. Bright,, ,5.5,,37500000,43.3,46.3,47,,51,43.3,7.00E-02,7.50E+07,1,7.50E+07,9.33E+02,,7813.2,,130.6,1.04E-04,209.34,ISSCC
1998,9.6,NQ,Flash,0.35 BiCMOS,A 5.75b 350Msample/s or 6.75b 150Msample/s reconfigurable flash ADC for a PRML read channel,"A reconfigurable flash analog-to-digital converter (ADC), is suited for use in a partial response maximum likelihood (PRML) read channel with digital servo. A 5V version is integrated in a read channel with digital servo using BiCMOS technology","P. Setty, J. Barner, J. Plany, H. Burger, and J. Sonntag", , ,0.75,,175000000,31,,,,,31,2.25E-01,3.50E+08,1,3.50E+08,6.43E+02,,22180.4,,119.9,6.34E-05,205.35,ISSCC
1998,9.7,NQ,Folding,0.50 BiCMOS,A 400Msample/s 6b CMOS folding and interpolating ADC,"A 6b 400 MSample/s folding and interpolating CMOS ADC uses a low-impedance current-mode approach. Current division interpolation in the folders allows fast low-voltage operation. This interpolation together with a short aperture comparator, gives good performance for high-frequency inputs, without using a sample-and-hold. The ADC uses a single clock and its complement. The 0.6 mm2 CMOS converter, fabricated in a 0.5 ?m BiCMOS process dissipates 200 mW from a 3.2 V supply ","M. Flynn and B. Sheahan,", , ,0.6,,200000000,29.2,,,33.6,,29.2,2.00E-01,4.00E+08,1,4.00E+08,5.00E+02,,21224.3,,119.2,5.31E-05,205.22,ISSCC
1999,3.1,OS,SDSC,0.5,A 1.5 V 1.0 mW audio ?ä modulator with 98 dB dynamic range,"This audio-quality switched-capacitor (SC) ?ä modulator operates from a single 1.5 V supply and dissipates 1.0 mW. When clocked at 2.82 MHz, it achieves 98.2 dB dynamic range (DR) in a 20 kHz bandwidth. The peak SNR and SNDR are 90 dB and 88 dB, respectively. The fully-differential experimental circuit has been integrated in a 0.5 ?m triple-metal single-poly CMOS n-well process with metal-to-poly capacitors.",A.L. Coban; P.E. Allen, , ,0.53,,20000,88,90,98.2,,,88,1.01E-03,2.82E+06,71,4.00E+04,2.51E+04,,1223.7,,161,3.06E-02,207.01,ISSCC
1999,3.2,OS,SDCT,0.35,A 1.8 mW CMOS ä? modulator with integrated mixer for A/D conversion of IF signals,"This CMOS IFä? modulator combines the functions of an IF mixer and an anti-aliasing filter with a continuous-time (CT) baseband ä? modulator for A/D conversion of IF signals in radio receivers. Advantage is taken of the high linearity and low-power of the CT baseband ä? modulator. The resulting IFä? modulator consumes 1.8 mW and has +36 dBV IP3. The IF ä? modulator of this paper is for mobile phones (GSM specification), and is promising for application in other types of receivers ","Breems, L.J.; van de Zwan, E.J.; Dijkmans, E.C.; Huijsing, J.H.", , ,0.2,,100000,84,,86,,,84,1.80E-03,1.30E+07,65,2.00E+05,9.00E+03,,694.8,,161.4,3.47E-03,214.46,ISSCC
1999,3.3,OS,"SDSC, Pipe",1.2,A Nyquist-rate pipelined oversampling A/D converter,"Oversampling and noise-shaping techniques, such as ä? modulation, have an inherent tradeoff between accuracy and speed, whereby resolution in amplitude is at the expense of resolution in time. Because their internal circuits must operate over many clock cycles to produce a single result, they have limited data rates and power dissipation is a concern. Much attention has been focused on improving the speed and power of ä? analog-to-digital converters (ADCs) by use of higher-order modulators, multi-bit feedback, and multi-bit architectures with single-bit feedback. However, data rates remain limited to less than a few MHz and are not easily extended. A pipelined oversampling architecture circumvents this speed-resolution tradeoff by performing spatial, rather than temporal, oversampling. It combines the high resolution of äë techniques with the high speed of pipelined converters so that both of these attributes are simultaneously achievable ","Paul, S.; Hae-Seung Lee; Goodrich, J.; Alailima, T.; Santiago, D.", , ,47,,9000000,71,74,78,,78,71,3.24E-01,1.80E+07,1,1.80E+07,1.80E+04,,6207.7,,145.4,3.45E-04,217.99,ISSCC
1999,3.4,OS,SDCT,0.5,A 6th-order continuous-time bandpass ä? modulator for digital radio IF,"A bandpass SD Modulator (SDM) ADC uses negative feedback of a bandpass-filtered error-signal and a high oversampling ratio to reduce the in-band errors of a low-resolution quantizer. As high-order (>4) bandpass SDMs exhibit signal-dependent stability, multibit quantizers are often used to lower the quantization noise of a 2nd or 4th order SDM. However, the accuracy required of the intermediate quantizer levels is high as mismatch affects the overall SDM performance. A 6th-order SDM has a single-bit quantizer for digitizing IF signals of 10.7 MHz ","van Engalen, J.; van de Plassche, R.; Sokvoort, E.; Venes, A.","Data for 10.7MHZ IF, BW=200kHz", ,0.36,,200000,63.5,,67,,,63.5,6.00E-02,8.00E+07,200,4.00E+05,1.50E+05,,122682.8,,128.7,3.07E-01,184.75,ISSCC
1999,3.7,OS,SDCT,0.80 BiCMOS,A 400 MHz 12 b 18 mW IF digitizer with mixer inside a ä? modulator loop,"One method of IF digitization consists of a down-conversion mixer followed by a lowpass ä? modulator. However, as one moves to high IF, the down conversion mixer's distortion deteriorates rapidly and more power has to be dissipated to restore the mixer's distortion to an acceptable level. In order to achieve low-distortion while maintaining low power dissipation, a new digitizer that suppresses this mixer distortion by placing the mixer inside a modified ä? feedback loop, and capable of operating at 400 MHz, is presented","Namdar, A.; Laung, B.H.", , ,1.5,,40000,66,,72,,,66,1.80E-02,2.00E+07,250,8.00E+04,2.25E+05,,137994.7,,129.5,1.72E+00,178.5,ISSCC
1999,18.1,NQ,Algo,1.5,A 12 b digital-background-calibrated algorithmic ADC with -90dB THD,"The linearity of analog-to-digital converters (ADCs) is often limited by component mismatches. Trimming can be used to achieve high linearity but cannot track variations over time caused by component aging or by temperature and power-supply changes. Background calibration overcomes this limitation. However, previous background-calibration methods require complicated post processing, occupy some of the range of the analog signal under conversion, or are tailored for a specific type of converter. This ADC uses a queue-based architecture for creating calibration time slots without disturbing the sampling of the input signal. The digital background calibration uses an adaptive algorithm to improve linearity. The queue-based architecture for generating the calibration time slots and the digital-background-calibration method are independent and can be used separately ","Ozan E. Erdogan, Paul J. Hurst, and Stephen H. Lewis", , ,5.94,,62500,71,,,90,95,71,1.60E-02,1.25E+05,1,1.25E+05,1.28E+05,,44143.3,,136.9,3.53E-01,187.89,ISSCC
1999,18.2,NQ,Two-Step,0.35,A 3.3V 10b 25Msample/s two-step ADC in 0.35æm CMOS,"System-on-chip for video, QAM and VSB applications requires analog-to-digital converters (ADC) in state-of-the-art CMOS technology. The untrimmed ADC is realized in standard single poly 0.35 ?m CMOS technology with 3.3 V supply voltage, dissipates 195 mW and measures 0.8 mm2, including track-and-hold and clock-generation circuits. This ADC achieves 9.3 ENOB with an effective resolution bandwidth of 14 MHz at 16 MSample/s sample frequency. The ADC is based on a two-step architecture, which combines a high sampling rate with a limited number of comparators. This ADC operates at 3.3 V supply voltage by using a floating ladder structure, full differential dual residue signal processing with improved switching and offset-compensated residue amplifiers. Latency is kept at a minimum of 2 cycles","Hendrik van der Ploeg and Robert Remmers,",Fig. 18.2.6.a shows 7.8 ENOB at fin=12.5 MHz, ,0.8,,12500000,48.7,59.6,,62.8,72,48.7,1.95E-01,2.50E+07,1,2.50E+07,7.80E+03,,34999.4,,126.8,1.40E-03,200.76,ISSCC
1999,18.3,NQ,Folding,0.60 BiCMOS,A 65 mW 10 b 40 Msample/s BiCMOS Nyquist ADC in 0.8 mm 2,"This ADC is to be embedded in video-signal-processing ICs. Because this integration is mixed-signal, focus during architectural and circuit design is on low power, low area consumption and low substrate noise sensitivity and generation. The 10 b ADC is based on a cascaded folding and interpolating architecture. Folding and interpolating factors are optimized for low power and low area. The circuit fully exploits the available 5 V supply by means of stacked folding topologies and dimensioning is based on balancing trade-off parameters for the various devices and stages. The untrimmed ADC achieves Nyquist performance at 40 MSample/s: the input frequency, where half an effective bit is lost compared to low input frequency performance, is 20 MHz. The low input frequency performance is 9.2 effective bits. The 0.8 mm2 ADC is in 7 GHz, 0.6 ?m BiCMOS and dissipates 65 mW from a single 5 V supply ",Gian Hoogzaad and Raf Roovers,Fig. 18.3.6.a shows 8.7 ENOB at fin=20 MHz, ,0.8,,20000000,54.1,59,,62,67,54.1,6.50E-02,4.00E+07,1,4.00E+07,1.63E+03,,3907.4,,139,9.77E-05,215.04,ISSCC
1999,18.4,NQ,Two-Step,0.5,A 75mW 10b 20MSample/s CMOS subranging ADC with 59dB SNDR,"In a two-step CMOS subranging ADC (CSA), a coarse comparator bank determines which subset of fine reference taps from a resistor ladder should be passed (without amplification or subtraction from the ADC input) to a fine comparator bank by an analog multiplexer (AMUX). This CSA provides advantages over previously-reported variations of this architecture. These advantages include absolute value signal processing, an extended settling period for the fine references, a fully differential topology, and a front-end sample-and-hold amplifier (SHA). As a result of these features, this ADC achieves 9.5 ENOB Nyquist performance at 75 mW and two-clock-cycle conversion latency",Brian Brandt and Joseph Lutsky, , ,1.6,,10000000,58.7,60.5,,64,64,58.7,7.50E-02,2.00E+07,1,2.00E+07,3.75E+03,,5330.2,,139.9,2.67E-04,212.96,ISSCC
1999,18.5,NQ,Flash,0.4,A CMOS 6b 500MSample/s ADC for a hard disk drive read channel,High-speed A/D converters (ADCs) are essential for improving the transfer rate of hard disk drives. This CMOS 6 b 500 MSample/s full-flash ADC for a read channel has 5.5 effective number of bits (ENOB) for a 125 MHz input signal (which is one quarter of the sampling rate). The ADC occupies 2.4 mm2 and power consumption is 400 mW for a 3.3 V supply. 0.4 ?m CMOS technology is used ,Yuko Tamba and Kazuo Yamakido, , ,2.4,,250000000,34.9,,,,,34.9,4.00E-01,5.00E+08,1,5.00E+08,8.00E+02,,17677.7,,122.8,3.54E-05,209.82,ISSCC
1999,18.6,NQ,Flash,0.6,A 6b 500MSample/s CMOS flash ADC with a background interpolated auto-zeroing technique,"A 6 b 500 MSample/s Flash ADC employs interpolated auto-zeroing carried out in background mode. To improve the ADC differential nonlinearity characteristic, a resistor network with its inherent error averaging property is employed for interpolation ","Kwangho Yoon, Sungkyung Park, and Wonchan Kim", , ,5.25,33.2,100000000,27.5,,,,,27.5,3.30E-01,5.00E+08,1,5.00E+08,6.60E+02,17676.1,34073.4,122,116.3,6.81E-05,203.28,ISSCC
